"AN";"PD";"CR";"LA";"BY";"IP";"RE";"CO";"NS";"KW";"WC";"HD"
"11";"AFNWS00020241115ekbf000p7";2024-11-15;"Inter Press Service";"Anglais";"Yamide Dagnet, Amanda Maxwell, Zak Smith, and Jennifer Skene";"news";"africaz  col  devgcoz  dvpcoz  lamz  namz  samz  usa ";"";"gcat  gclimt  gdip  genv  gglobe  gpir  gpol ";"africaz  col  devgcoz  dvpcoz  lamz  namz  samz  usa   gcat  gclimt  gdip  genv  gglobe  gpir  gpol ";1786;"From the Biodiversity COP16 to the Climate COP29 - Building Equitable Accountability, Alignment, and Adequacy On Finance"
"12";"AFNWS00020241115ekbf000mf";2024-11-15;"Global Witness";"Anglais";"";"press release";"africaz  asiaz  azerb  baku  dvpcoz  wasiaz ";"";"gcat  gclimt  gdip  genv  gglobe  gpir  ncat  npress ";"africaz  asiaz  azerb  baku  dvpcoz  wasiaz   gcat  gclimt  gdip  genv  gglobe  gpir  ncat  npress ";1317;"Fossil Fuel Lobbyists Eclipse Delegations From Most Climate-Vulnerable Nations At COP29 Climate Talks"
"13";"AFNWS00020241115ekbf0000d";2024-11-15;"The Conversation Africa";"Anglais";"Julia Taylor, Imraan Valodia, Katrina Lehmann-Grube, Sarah Cook and Somali Cerise";"analysis";"africaz ";"";"gcat  gclimt  gcom  genv  gglobe  ghum  gsoc  gwori ";"africaz   gcat  gclimt  gcom  genv  gglobe  ghum  gsoc  gwori ";1141;"Climate Change - Women's Role in the Economy Is Key to a Just Transition"
"14";"AFNWS00020241114ekbe00109";2024-11-14;"263Chat";"Anglais";"Elia Ntali";"news | Zimbabwe";"africaz  dvpcoz  eafrz  souafrz  zimbab ";"";"gcat  gclimt  genv  gglobe ";"africaz  dvpcoz  eafrz  souafrz  zimbab   gcat  gclimt  genv  gglobe ";470;"Activists Demand Trillions in Climate Finance, Urging Developed Nations to Repay 'Climate Debt' to the Global South"
"15";"AFNWS00020241113ekbd00006";2024-11-13;"African Arguments";"Anglais";"Rishika Pardikar";"interview";"africaz  dvpcoz ";"unfcoc ";"gcat  gclimt  genv  gglobe  ncat  nfact  nfcpex  nitv ";"africaz  dvpcoz  unfcoc  gcat  gclimt  genv  gglobe  ncat  nfact  nfcpex  nitv ";1272;"'Extremely Urgent' - an Interview With the Head of the Adaptation Fund"
"16";"AFNWS00020241106ekb6000b8";2024-11-06;"Daily Trust";"Anglais";"Chidimma C. Okeke";"news | Nigeria";"africaz  dvpcoz  nigea  wafrz ";"conobd ";"gcat  genv  gqual ";"africaz  dvpcoz  nigea  wafrz  conobd  gcat  genv  gqual ";801;"COP16 - Nigeria, Global South Countries Makes Case for International Nature Finance Support"
"17";"AFNWS00020241106ekb60008e";2024-11-06;"The Conversation Africa";"Anglais";"Bonita Meyersfeld";"analysis";"africaz ";"";"c13  ccat  ccsr  cesg  gcat  gcom  gedu  ghum  gpov  gsoc  ncat  nfact  nfcpex  nfcpin ";"africaz   c13  ccat  ccsr  cesg  gcat  gcom  gedu  ghum  gpov  gsoc  ncat  nfact  nfcpex  nfcpin ";1047;"Big Companies Profit From Poverty but Aren't Obliged to Uphold Human Rights. International Law Must Change - Scholar"
"18";"AFNWS00020241106ekb60000g";2024-11-06;"Institute for Security Studies";"Anglais";"Ronak Gopaldas";"analysis";"africaz  apacz  asiaz  china  chinaz  devgcoz  dvpcoz  easiaz  india  sasiaz ";"bqljse  oblrve ";"gcat  gdip  gpir ";"africaz  apacz  asiaz  china  chinaz  devgcoz  dvpcoz  easiaz  india  sasiaz  bqljse  oblrve  gcat  gdip  gpir ";1198;"India and China Vie for Leadership of the Global South"
"19";"AFNWS00020241031ekav00107";2024-10-31;"The Herald";"Anglais";"Catherine Murombedzi";"news | Zimbabwe";"africaz  dvpcoz  eafrz  souafrz  zimbab ";"adshfo ";"gcat  gcold  ghea  ghiv  gmed  gout  gsars  gspox  gstd ";"africaz  dvpcoz  eafrz  souafrz  zimbab  adshfo  gcat  gcold  ghea  ghiv  gmed  gout  gsars  gspox  gstd ";921;"Reading Between the Fine Lines of Pandemic Deal Talks"
"20";"AFNWS00020241030ekau000e3";2024-10-30;"Institute for Security Studies";"Anglais";"Priyal Singh";"analysis";"africaz  asiaz  dvpcoz  eeurz  eurz  russ  ruvol  ttstan ";"bqljse ";"gcat  gpir  gpol ";"africaz  asiaz  dvpcoz  eeurz  eurz  russ  ruvol  ttstan  bqljse  gcat  gpir  gpol ";1096;"Brics Summit 2024 - Everything, Everywhere, All At Once?"
"21";"AFNWS00020241030ekau00033";2024-10-30;"The Conversation Africa";"Anglais";"Anthoni Van Nieuwkerk";"analysis | South Africa";"africaz  asiaz  devgcoz  dvpcoz  eeurz  eurz  gulfstz  iran  meastz  russ  ruvol  saarab  safr  souafrz  ttstan  wasiaz ";"bqljse ";"gcat  gdip  gpir ";"africaz  asiaz  devgcoz  dvpcoz  eeurz  eurz  gulfstz  iran  meastz  russ  ruvol  saarab  safr  souafrz  ttstan  wasiaz  bqljse  gcat  gdip  gpir ";1151;"BRICS+ Could Shape a New World Order, but It Lacks Shared Values and a Unified Identity"
"22";"AFNWS00020241030ekau00001";2024-10-30;"Inter Press Service";"Anglais";"Margaret López";"news";"africaz  dvpcoz  lamz  samz  ven ";"";"gcat  gclimt  genv  gglobe  gsci ";"africaz  dvpcoz  lamz  samz  ven   gcat  gclimt  genv  gglobe  gsci ";892;"Scientific Research Can Play a Key Role in Unlocking Climate Finance"
"23";"AFNWS00020241023ekan001e1";2024-10-23;"Inter Press Service";"Anglais";"Michael Galant";"opinion | Washington DC";"africaz  dvpcoz  namz  usa  usdc  uss ";"imonf ";"";"africaz  dvpcoz  namz  usa  usdc  uss  imonf  ";1134;"The IMF Just Made the Case for Its Own Irrelevance"
"24";"AFNWS00020241018ekai00005";2024-10-18;"African Arguments";"Anglais";"Karabo Mokgonyana & Khulekani Magwaza";"analysis";"africaz ";"imonf  twban  wbgrup ";"gcat  gclimt  genv  gglobe  gsust ";"africaz  imonf  twban  wbgrup  gcat  gclimt  genv  gglobe  gsust ";1222;"How the World Bank and IMF Can Truly Drive a Clean Energy Transition"
"25";"AFNWS00020241012ekac00001";2024-10-12;"The Conversation Africa";"Anglais";"Imraan Valodia, Julia Taylor and Sonia Phalatse";"analysis";"africaz ";"ipocch ";"gcat  gclimt  genv  gglobe ";"africaz  ipocch  gcat  gclimt  genv  gglobe ";1184;"Climate Change - Care for Humans, Other Species and the Natural Environment Is the Key to a Just Transition"
"26";"AFNWS00020241009eka90003f";2024-10-09;"The Conversation Africa";"Anglais";"Nicholas Westcott";"analysis";"africaz  eurz  uk  weurz ";"";"gcat  gdip  gpir  gpol ";"africaz  eurz  uk  weurz   gcat  gdip  gpir  gpol ";1192;"Britain Has Neglected Africa and the Commonwealth for Over a Decade - 4 Ways It Can Reset Relations"
"27";"AFNWS00020241007eka7000xx";2024-10-07;"The Namibian";"Anglais";"";"analysis | Namibia";"africaz  dvpcoz  namib  souafrz ";"";"gcat  gpir  gpol ";"africaz  dvpcoz  namib  souafrz   gcat  gpir  gpol ";782;"Should Namibians Vote?"
"28";"AFNWS00020241002eka2000ek";2024-10-02;"SAnews.gov.za";"Anglais";"";"news | South Africa";"africaz  devgcoz  dvpcoz  eurz  safr  souafrz  uk  weurz ";"govgb  souacn ";"gcat  gdip  gpir  gpol ";"africaz  devgcoz  dvpcoz  eurz  safr  souafrz  uk  weurz  govgb  souacn  gcat  gdip  gpir  gpol ";672;"Deputy President Calls On the UK to Raise Tariff-Free Quota On Wine, Sugar From SA"
"29";"AFNWS00020241001eka1000xq";2024-10-01;"The Ethiopian Herald";"Anglais";"";"Ethiopia | opinion";"africaz  apacz  asiaz  china  chinaz  devgcoz  dvpcoz  eafrz  easiaz  ethpa  hkong ";"icjus  pmcubt  utdnat ";"";"africaz  apacz  asiaz  china  chinaz  devgcoz  dvpcoz  eafrz  easiaz  ethpa  hkong  icjus  pmcubt  utdnat  ";1736;"International Organization for Mediation - Global History in the Making"
"30";"AFNWS00020240926ek9q0008g";2024-09-26;"The Ethiopian Herald";"Anglais";"AMBASSADOR HU CHANGCHUN";"Ethiopia | news";"africaz  apacz  asiaz  china  chinaz  devgcoz  dvpcoz  eafrz  easiaz  ethpa ";"afriu ";"gcat  gdip  gpir ";"africaz  apacz  asiaz  china  chinaz  devgcoz  dvpcoz  eafrz  easiaz  ethpa  afriu  gcat  gdip  gpir ";1136;"Work Together to Pursue Aspiration of Modernization, Build a Community With a Shared Future"
"31";"AFNWS00020240924ek9o000v6";2024-09-24;"The Conversation Africa";"Anglais";"Anthoni Van Nieuwkerk";"analysis";"africaz  cana  eurz  namz ";"afriu  unscou  utdnat ";"";"africaz  cana  eurz  namz  afriu  unscou  utdnat  ";1095;"UN Security Council - African Countries Face Hurdles and Dangers in Getting Permanent Seats"
"32";"AFNWS00020240923ek9n000b9";2024-09-23;"Tanzania Daily News";"Anglais";"";"news | Tanzania";"africaz  apacz  asiaz  china  chinaz  devgcoz  dvpcoz  eafrz  easiaz  tanza ";"";"gcat  gdip  gpir  gtrans ";"africaz  apacz  asiaz  china  chinaz  devgcoz  dvpcoz  eafrz  easiaz  tanza   gcat  gdip  gpir  gtrans ";1476;"Why Chinese Embassy Is Behind Focac Resolutions Implementation"
"33";"AFNWS00020240919ek9j00006";2024-09-19;"Inter Press Service";"Anglais";"Maina Waruru";"Nairobi | news";"africaz  dvpcoz  eafrz  kenya ";"";"c13  c341  ccat  e21  e211  ecat  gcat  gpir  gpol  ncat  nfact  nfcpin ";"africaz  dvpcoz  eafrz  kenya   c13  c341  ccat  e21  e211  ecat  gcat  gpir  gpol  ncat  nfact  nfcpin ";1458;"Governments Using Billions of Public Funds to Subsidize Climate-Destructive Industries--Report"
"34";"AFNWS00020240912ek9c0015s";2024-09-12;"Capital FM";"Anglais";"Bruhan Makong";"Kenya | Nairobi | news";"africaz  dvpcoz  eafrz  kenya ";"whoz ";"gcat  ghea  gmed  gout  gspox ";"africaz  dvpcoz  eafrz  kenya  whoz  gcat  ghea  gmed  gout  gspox ";795;"Lobby Demands Fair Measures for the Global South At WHO Pandemic Talks"
"35";"AFNWS00020240911ek9b000xo";2024-09-11;"Inter Press Service";"Anglais";"Jomo Kwame Sundaram";"Kuala Lumpur, Malaysia | news";"africaz  apacz  asiaz  cana  devgcoz  dvpcoz  eurz  kuala  malay  namz  seasiaz  usa ";"";"e11  e1101  ecat  gcat  gdip  genv  gesanc  gpir  gsust ";"africaz  apacz  asiaz  cana  devgcoz  dvpcoz  eurz  kuala  malay  namz  seasiaz  usa   e11  e1101  ecat  gcat  gdip  genv  gesanc  gpir  gsust ";875;"The Global South in the New Cold War"
"36";"AFNWS00020240827ek8r0000d";2024-08-27;"Inter Press Service";"Anglais";"Maina Waruru";"Nairobi | news";"africaz  dvpcoz  eafrz  kenya ";"imawiq ";"gcat  gcom  gfdsec  gfod  ghea  glife  gmed  gnutr  gstres ";"africaz  dvpcoz  eafrz  kenya  imawiq  gcat  gcom  gfdsec  gfod  ghea  glife  gmed  gnutr  gstres ";1201;"Disease and Climate Stress Resistant Wheat Varieties for Global South"
"37";"AFNWS00020240823ek8n000gq";2024-08-23;"263Chat";"Anglais";"Marshall Bwanya";"news | Zimbabwe";"africaz  dvpcoz  eafrz  souafrz  zimbab ";"sadcmy ";"e21  e212  ecat  gcat  gclimt  genv  gglobe ";"africaz  dvpcoz  eafrz  souafrz  zimbab  sadcmy  e21  e212  ecat  gcat  gclimt  genv  gglobe ";705;"SADC Summit Demands U.S.$5 Trillion Climate Reparations From Global North"
"38";"AFNWS00020240822ek8m000uw";2024-08-22;"Congress of South African Trade Unions";"Anglais";"";"press release | South Africa";"africaz  asiaz  col  devgcoz  dvpcoz  israel  lamz  meastz  medz  safr  samz  souafrz  wasiaz ";"cgsatu  march ";"gcat  gcns  gcrim  gdef  grisk  gvio  gwar  ncat  npress  redit  reqr  reqrmm ";"africaz  asiaz  col  devgcoz  dvpcoz  israel  lamz  meastz  medz  safr  samz  souafrz  wasiaz  cgsatu  march  gcat  gcns  gcrim  gdef  grisk  gvio  gwar  ncat  npress  redit  reqr  reqrmm ";385;"Cosatu Supports the Call On Glencore to Stop Sending Coal to Israel - Fuelling Apartheid and Genocide Is a Crime!"
"39";"AFNWS00020240816ek8g000xj";2024-08-16;"Seychelles News Agency";"Anglais";"";"news | Seychelles";"africaz  asiaz  devgcoz  dvpcoz  eafrz  india  sasiaz  seych ";"";"gcat  gclimt  genv  gglobe  gpir  gpol ";"africaz  asiaz  devgcoz  dvpcoz  eafrz  india  sasiaz  seych   gcat  gclimt  genv  gglobe  gpir  gpol ";407;"The 3rd Voice of Global South Summit 2024"
"40";"AFNWS00020240730ek7u0005r";2024-07-30;"Africa Center for Strategic Studies";"Anglais";"Paul Nantulya";"news";"africaz  apacz  asiaz  china  chinaz  devgcoz  dvpcoz  easiaz ";"";"gcat  gdip  gpir  gpol ";"africaz  apacz  asiaz  china  chinaz  devgcoz  dvpcoz  easiaz   gcat  gdip  gpir  gpol ";2369;"China Escalates Its Political Party Training in Africa"
"41";"AFNWS00020240621ek6l00038";2024-06-21;"The Conversation Africa";"Anglais";"Anthoni Van Nieuwkerk";"analysis | South Africa";"africaz  devgcoz  dvpcoz  safr  souafrz ";"";"gcat  gdip  gpir  gpol ";"africaz  devgcoz  dvpcoz  safr  souafrz   gcat  gdip  gpir  gpol ";1110;"South Africa's Foreign Policy - a Unity Government Must Be Practical in a Turbulent World"
"42";"AFNWS00020240617ek6h000gp";2024-06-17;"The Reporter";"Anglais";"Contributor";"Ethiopia | opinion";"africaz  asiaz  devgcoz  dvpcoz  eafrz  eeurz  ethpa  eurz  india  israel  meastz  medz  russ  safr  sasiaz  souafrz  wasiaz ";"";"gcat  gpir  gpol ";"africaz  asiaz  devgcoz  dvpcoz  eafrz  eeurz  ethpa  eurz  india  israel  meastz  medz  russ  safr  sasiaz  souafrz  wasiaz   gcat  gpir  gpol ";1004;"Global South - a Rising Power in a Shifting World Order"
"43";"AFNWS00020240613ek6d000jw";2024-06-13;"The Herald";"Anglais";"";"Gibson Nyikadzino | news | Zimbabwe";"africaz  devgcoz  dvpcoz  eafrz  safr  souafrz  zimbab ";"";"gcat  gcom  gdip  gpir  gpov  gsoc ";"africaz  devgcoz  dvpcoz  eafrz  safr  souafrz  zimbab   gcat  gcom  gdip  gpir  gpov  gsoc ";1254;"Zimbabwe Strategically Positioning for Brics+ Alliance"
"44";"AFNWS00020240530ek5u0003u";2024-05-30;"Vanguard";"Anglais";"Agbonkhese Oboh";"news | Nigeria";"africaz  dvpcoz  namz  nigea  niger  usa  wafrz ";"";"ccat  redit  reqr  reqrmm ";"africaz  dvpcoz  namz  nigea  niger  usa  wafrz   ccat  redit  reqr  reqrmm ";727;"Nasarawa Lithium Mining Is Repeating Niger Delta Oil Exploration Havoc - Environmental Activists"
"45";"AFNWS00020240521ek5l000s4";2024-05-21;"Daily Trust";"Anglais";"Charles Onunaiju";"news | Nigeria";"abuja  africaz  asiaz  dvpcoz  gazas  israel  meastz  medz  nigea  palest  wafrz  wasiaz ";"";"gcat  gcns  gdef  gdip  gpir  gpol  grisk  gvio ";"abuja  africaz  asiaz  dvpcoz  gazas  israel  meastz  medz  nigea  palest  wafrz  wasiaz   gcat  gcns  gdef  gdip  gpir  gpol  grisk  gvio ";1112;"Mrs Tinubu and the Blood-Stained Hands of Israeli Envoys"
"46";"AFNWS00020240515ek5f0001b";2024-05-15;"Inter Press Service";"Anglais";"Stella Paul";"Nairobi | news";"africaz  dvpcoz  eafrz  kenya  nairoi ";"tdnvpq  utdnat ";"gcat  genv ";"africaz  dvpcoz  eafrz  kenya  nairoi  tdnvpq  utdnat  gcat  genv ";1460;"SBSTTA and SBI - Biodiversity Meetings Crucial for the Global South Begin"
"47";"AFNWS00020240510ek5a0005r";2024-05-10;"The Conversation Africa";"Anglais";"Sisanda Nkoala";"analysis | South Africa";"africaz  devgcoz  dvpcoz  safr  souafrz ";"twnit ";"gcat  glife  gsci  gweb ";"africaz  devgcoz  dvpcoz  safr  souafrz  twnit  gcat  glife  gsci  gweb ";1006;"Science Journalism in South Africa - Social Media Is Helping Connect With New Readers"
"48";"AFNWS00020240506ek560015r";2024-05-06;"African Development Bank";"Anglais";"";"announcement";"africaz ";"afrdb  afriu  isdvbk ";"gcat  genv  gsust ";"africaz  afrdb  afriu  isdvbk  gcat  genv  gsust ";861;"African Development Bank President Calls for 'Bold and Innovative Approach' From Multilateral Development Banks to Tackle Global Challenges"
"49";"AFNWS00020240427ek4r0002u";2024-04-27;"University of Cape Town";"Anglais";"";"news | South Africa";"africaz  devgcoz  dvpcoz  safr  souafrz ";"uocapt ";"gcat  gcom  gedu  glit  gsoc ";"africaz  devgcoz  dvpcoz  safr  souafrz  uocapt  gcat  gcom  gedu  glit  gsoc ";1524;"Three Decades of Freedom - Too Many Flaws in SA's Education System"
"50";"AFNWS00020240426ek4q00006";2024-04-26;"African Arguments";"Anglais";"View(s) From Africa";"analysis";"africaz ";"imonf  twban ";"";"africaz  imonf  twban  ";1881;"Climate Finance - Did the IMF/World Bank Spring Meetings Move the Dial?"
"51";"AFNWS00020240424ek4o000so";2024-04-24;"Institute for Security Studies";"Anglais";"Dhesigen Naidoo";"analysis | South Africa";"africaz  braz  devgcoz  dvpcoz  lamz  safr  samz  souafrz ";"groptw ";"ccat  cemis  cenvire  cesg  gcat  gclimt  gdip  genv  gglobe  gpir  gsust ";"africaz  braz  devgcoz  dvpcoz  lamz  safr  samz  souafrz  groptw  ccat  cemis  cenvire  cesg  gcat  gclimt  gdip  genv  gglobe  gpir  gsust ";947;"Time Is Right for a South Atlantic Climate Alliance"
"52";"AFNWS00020240422ek4m001bb";2024-04-22;"The Ethiopian Herald";"Anglais";"";"Ethiopia | news";"africaz  dvpcoz  eafrz  ethpa ";"unscou  utdnat ";"";"africaz  dvpcoz  eafrz  ethpa  unscou  utdnat  ";1152;"Africa, Ethiopia - Efforts Towards UNSC Reform"
"53";"AFNWS00020240422ek4m000y1";2024-04-22;"Amnesty International";"Anglais";"Melissa Hendrickse";"press release";"africaz  asiaz  israel  meastz  medz  wasiaz ";"iccou  ungass ";"gcat  gcns  gcrim  grisk  gvio  gwar ";"africaz  asiaz  israel  meastz  medz  wasiaz  iccou  ungass  gcat  gcns  gcrim  grisk  gvio  gwar ";2088;"A Chance for Africa to Counter the Pitfalls of International Criminal Justice?"
"54";"AFNWS00020240422ek4m000e3";2024-04-22;"Africa Renewal";"Anglais";"Raphael Obonyo";"news";"africaz  dvpcoz  eafrz  kenya  nairoi ";"";"ccat  cemis  cenvire  cesg  gcat  gclimt  genv  gglobe  mcat  memiss  ncat  nfact  nfce ";"africaz  dvpcoz  eafrz  kenya  nairoi   ccat  cemis  cenvire  cesg  gcat  gclimt  genv  gglobe  mcat  memiss  ncat  nfact  nfce ";1297;"Creating Credible Carbon Market in Africa"
"55";"AFNWS00020240419ek4j0000b";2024-04-19;"African Arguments";"Anglais";"Rishika Pardikar";"analysis";"africaz ";"ipocch ";"gcat  gclimt  genv  gglobe ";"africaz  ipocch  gcat  gclimt  genv  gglobe ";1365;"Modelling Injustice - South Experts Call for Climate Model Paradigm Shift"
"56";"AFNWS00020240402ek4200109";2024-04-02;"United Nations Development Programme";"Anglais";"Amanda K Serumaga";"news";"africaz  dvpcoz  eafrz  maurts  seych ";"";"gcat  genv  gsust ";"africaz  dvpcoz  eafrz  maurts  seych   gcat  genv  gsust ";991;"Where Is the Money?"
"57";"AFNWS00020240321ek3l000ry";2024-03-21;"Inter Press Service";"Anglais";"Jomo Kwame Sundaram";"Neemrana, Rajasthan, India | opinion";"africaz  asiaz  cana  devgcoz  dvpcoz  eurz  india  namz  sasiaz  usa ";"";"ccat  gcat  gcns  grisk  gvio ";"africaz  asiaz  cana  devgcoz  dvpcoz  eurz  india  namz  sasiaz  usa   ccat  gcat  gcns  grisk  gvio ";861;"Industrial Policy, East or West, for Development or War?"
"58";"AFNWS00020240313ek3d0010a";2024-03-13;"Inter Press Service";"Anglais";"Jomo Kwame Sundaram";"Kuala Lumpur, Malaysia | news";"africaz  apacz  asiaz  devgcoz  dvpcoz  kuala  malay  seasiaz ";"indeva ";"e11  e12  e1202  e21  e212  ecat ";"africaz  apacz  asiaz  devgcoz  dvpcoz  kuala  malay  seasiaz  indeva  e11  e12  e1202  e21  e212  ecat ";953;"Global South Stagnating Under Heavier Debt Burden"
"59";"AFNWS00020240312ek3c0012z";2024-03-12;"Nyasa Times";"Anglais";"Our Reporter";"Malawi | news";"africaz  dvpcoz  eafrz  malaw  souafrz  uganda ";"";"gcat  gclimt  gdip  genv  gglobe  gpir  gsust ";"africaz  dvpcoz  eafrz  malaw  souafrz  uganda   gcat  gclimt  gdip  genv  gglobe  gpir  gsust ";1138;"In Leading Continent's Sustainable Growth, East Africa Must Strike Right Global Partnerships"
"60";"AFNWS00020240219ek2j0005w";2024-02-19;"African Union";"Anglais";"";"press release";"africaz  asiaz  dvpcoz  eafrz  ethpa  meastz  medz  palest  wasiaz ";"afriu ";"gcat  gclimt  gdip  gedu  genv  gglobe  gpir  gpol ";"africaz  asiaz  dvpcoz  eafrz  ethpa  meastz  medz  palest  wasiaz  afriu  gcat  gclimt  gdip  gedu  genv  gglobe  gpir  gpol ";1150;"Education, Peace, Politics, Climate, Economy and International /Global Diplomacy in Focus At 37th AU Summit"
"61";"AFNWS00020240214ek2e001e9";2024-02-14;"African Arguments";"Anglais";"Eriga Reagan Elijah, Dianey Mugalizi, Vanessa Nakate & Pierre Wokuri";"analysis";"africaz ";"";"gcat  genv  gsust ";"africaz   gcat  genv  gsust ";1065;"The South Must Unite to End Debt and Shape a New Economic Order"
"62";"AFNWS00020240130ek1u0018h";2024-01-30;"allAfrica.com";"Anglais";"Melody Chironda";"news";"africaz ";"tdnvpq ";"gcat  gclimt  gdis  genv  gflood  gglobe  gnatcn  gntdis  grisk  redit  reqpap  reqr  reqraf ";"africaz  tdnvpq  gcat  gclimt  gdis  genv  gflood  gglobe  gnatcn  gntdis  grisk  redit  reqpap  reqr  reqraf ";2408;"Climate-Smart Farming Gets Funding Boost at COP28, But Small Farmers Still Struggle"
"63";"AFNWS00020240129ek1t000mb";2024-01-29;"The New Dawn";"Anglais";"Lincoln G. Peters";"Liberia | news";"africaz  apacz  asiaz  bric  china  chinaz  devgcoz  dvpcoz  easiaz  liber  wafrz ";"";"gcat  gdip  gpir  gpol  greg ";"africaz  apacz  asiaz  bric  china  chinaz  devgcoz  dvpcoz  easiaz  liber  wafrz   gcat  gdip  gpir  gpol  greg ";427;"China-Liberia Commit to Diplomatic Partnership"
"64";"AFNWS00020240109ek190018o";2024-01-09;"Institute for Security Studies";"Anglais";"Ronak Gopaldas";"analysis";"africaz  asiaz  bric  delhi  devgcoz  dvpcoz  india  sasiaz ";"afriu ";"gcat  gdip  gpir ";"africaz  asiaz  bric  delhi  devgcoz  dvpcoz  india  sasiaz  afriu  gcat  gdip  gpir ";1244;"India Eyes Africa in Its Quest for Superpower Status"
"65";"AFNWS00020240103ek13000bl";2024-01-03;"Premium Times";"Anglais";"Chudi Okoye";"Nigeria | opinion";"africaz  dvpcoz  eurz  namz  nigea  usa  wafrz ";"";"gcat  gdip  gpir ";"africaz  dvpcoz  eurz  namz  nigea  usa  wafrz   gcat  gdip  gpir ";2410;"Kissinger - His Deeds, Doctrine, and Lessons for Nigeria"
